           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e+00  -2.88965515311e-03  -4.09906512371e-03   1.20940997061e-03
   1.00000000000e-01  -2.88965515311e-03  -3.00686232695e-03   1.17207173843e-04
   1.00000000000e-02  -2.88965515311e-03  -2.90134087448e-03   1.16857213696e-05
   1.00000000000e-03  -2.88965515311e-03  -2.89082336521e-03   1.16821210612e-06
   1.00000000000e-04  -2.88965515311e-03  -2.88977190593e-03   1.16752825371e-07
   1.00000000000e-05  -2.88965515311e-03  -2.88966578721e-03   1.06341004518e-08
   1.00000000000e-06  -2.88965515311e-03  -2.88965587569e-03   7.22584399433e-10
   1.00000000000e-07  -2.88965515311e-03  -2.88954776773e-03   1.07385382623e-07
   1.00000000000e-08  -2.88965515311e-03  -2.89036017342e-03   7.05020315646e-07
   1.00000000000e-09  -2.88965515311e-03  -2.88227774980e-03   7.37740330363e-06
